pop,species,status,size.fecund,eggs
pop1,inflata,uninfected,0.952,5
pop1,inflata,uninfected,1.095,8
pop1,inflata,uninfected,1.047,6
pop1,inflata,uninfected,0.968,5
pop1,inflata,uninfected,1.079,6
pop1,inflata,uninfected,0.952,4
pop1,inflata,uninfected,1.095,8
pop1,inflata,uninfected,0.936,5
pop1,inflata,uninfected,1.127,8
pop1,inflata,uninfected,1.063,7
pop1,inflata,uninfected,1.095,7
pop1,inflata,uninfected,0.936,4
pop1,inflata,uninfected,1.063,5
pop1,inflata,uninfected,1.159,7
pop1,inflata,uninfected,1.127,8
pop1,inflata,uninfected,1.047,6
pop1,inflata,uninfected,1.111,6
pop1,inflata,uninfected,1.047,3
pop1,inflata,uninfected,0.952,5
pop1,inflata,uninfected,1.079,6
pop1,inflata,uninfected,1,2
pop1,inflata,uninfected,1.047,6
pop1,inflata,uninfected,1.143,9
pop1,inflata,uninfected,0.936,4
pop1,inflata,uninfected,1.063,6
pop2,floridana,uninfected,1.333,15
pop2,floridana,uninfected,1.492,12
pop2,floridana,uninfected,1.317,9
pop2,floridana,uninfected,1.365,15
pop2,floridana,uninfected,1.333,16
pop2,floridana,uninfected,1.285,13
pop2,floridana,uninfected,1.317,13
pop2,floridana,uninfected,1.285,11
pop2,floridana,uninfected,1.428,18
pop2,floridana,uninfected,1.444,13
pop2,floridana,uninfected,1.159,9
pop2,floridana,uninfected,1.317,14
pop2,floridana,uninfected,1.174,7
pop2,floridana,uninfected,1.349,13
pop2,floridana,uninfected,1.365,18
pop2,floridana,uninfected,1.206,8
pop2,floridana,uninfected,1.397,15
pop2,floridana,uninfected,1.333,10
pop2,floridana,uninfected,1.397,15
pop2,floridana,uninfected,1.555,17
pop2,floridana,uninfected,1.238,11
pop2,floridana,uninfected,1.238,10
pop2,floridana,uninfected,1.127,9
pop2,floridana,uninfected,1.095,9
pop2,floridana,uninfected,1.333,15
pop2,floridana,uninfected,1.349,15
pop2,floridana,uninfected,1.365,17
pop2,floridana,uninfected,1.317,14
pop2,floridana,uninfected,1.222,10
pop2,floridana,uninfected,1.032,7
pop2,floridana,uninfected,1.175,9
pop2,floridana,uninfected,1.206,10
pop2,floridana,uninfected,1.508,19
pop2,floridana,uninfected,1.19,8
pop2,floridana,uninfected,1.587,17
pop2,floridana,uninfected,1.428,19
pop2,floridana,uninfected,1.444,18
pop2,floridana,uninfected,1.428,13
pop2,floridana,uninfected,1.412,14
pop2,floridana,uninfected,1.46,17
pop2,floridana,uninfected,1.27,8
pop2,floridana,uninfected,1.301,12
pop2,floridana,uninfected,1.19,10
pop2,floridana,uninfected,1.444,17
pop2,floridana,uninfected,1.285,9
pop2,floridana,uninfected,1.254,9
pop2,floridana,uninfected,1.222,14
pop2,floridana,uninfected,1.174,8
pop2,floridana,uninfected,1.301,13
pop2,floridana,uninfected,1.254,14
pop2,floridana,uninfected,1.349,11
pop2,floridana,uninfected,1.397,15
pop2,floridana,uninfected,1.539,20
pop2,floridana,uninfected,1.222,11
pop2,floridana,uninfected,1.333,10
pop2,floridana,uninfected,1.111,9
pop2,floridana,uninfected,1.317,9
pop2,floridana,uninfected,1.127,9
pop2,floridana,uninfected,1.206,10
pop2,floridana,uninfected,1.206,8
pop2,floridana,uninfected,1.079,5
pop2,floridana,uninfected,1.46,14
pop2,floridana,uninfected,1.444,17
pop2,floridana,uninfected,1.365,10
pop2,floridana,uninfected,1.254,10
pop2,floridana,uninfected,1.476,17
pop2,floridana,uninfected,1.412,16
pop2,floridana,uninfected,1.254,13
pop2,floridana,uninfected,1.444,16
pop2,floridana,uninfected,1.365,11
pop3,inflata,uninfected,1.127,8
pop3,inflata,uninfected,0.952,3
pop3,inflata,uninfected,0.92,3
pop3,inflata,uninfected,1.063,5
pop3,inflata,uninfected,1.063,5
pop3,inflata,uninfected,0.968,5
